img_paths,artists,class
images/Albrecht_Durer/Albrecht_Durer_1.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_10.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_100.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_101.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_102.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_103.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_104.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_105.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_106.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_107.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_108.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_109.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_11.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_110.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_111.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_112.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_113.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_114.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_115.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_116.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_117.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_118.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_119.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_12.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_120.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_121.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_122.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_123.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_124.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_125.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_126.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_127.jpg,Albrecht_Durer,0
images/Albrecht_Durer/Albrecht_Durer_128.jpg,Albrecht_Durer,0
